Artist,Title,Album,Year,Genre,BPM,Song Key,Record Label,Catalog Number,Mix Placement
Boston 168,Seven Heads,Oblivion EP,2016,Techno,125,11A,Odd/Even,ODDEVEN004,IN
Buffered Multiple,Junolized,Buffer 05,2019,Techno,125,2A,Pomelo,POM043,OUT
Cardao,Horizon,Nemesis,2017,Techno,128,5A,Black Brook Limited,BBLV010,IN
Cassegrain,Caracal,Arcs 04,2017,Techno,129,8A,Arcing Seas,ARCS04,IN
Charlotte De Witte,Voices Of The Ancient (Keith Carnal Remix),Voices Of The Ancient,2017,Techno,127,2A,Mary Go Wild Black,MARYBLACK001,IN
CHPTR,XII,CHPTR 004,2019,Techno,124,5A,CHPTR,CHPTR004,IN
Christian Wünsch,Microorganisms,Random Mutation EP,2016,Techno,127,1A,Pole Group,POLEGROUP038,MID
Cirkle,Tension,Tension,2016,Techno,130,6A,Float Records,FLOAT012,IN
Cirkle,Immersion,Tension,2016,Techno,130,5A,Float Records,FLOAT012,IN
Claudia Anderson,Structure,Synthesis,2019,Techno,125,2A,Tresor,TRESOR307,IN
Claudio PRC,The Place Where We Were Born,Formation 1,2017,Techno,127,2A,Informa Records,INFORMA010,OUT
Claudio PRC,Ostinato,Volumi Dinamici,2017,Techno,127,6A,Semantica,SEMANTICA87,IN
Claudio PRC & Ness,Rajosa,Acidic Uniformity EP,2014,Techno,125,2A,Planet Rhythm,PRRUKBLK001,OUT
Claudio PRC & UNC,CXXV,The Gods Planet,2016,Techno,125,5A,The Gods Planet Extra,TGPEXTRA003,IN
Cleric,Plunge,INV019,2018,Techno,132,4A,Involve Records,INV019,MID
Cleric,Turbine,Resurrection,2017,Techno,131,12B,Figure,FIGURE83,IN
Cleric,Unwritten Future,Rules Of Reality EP,2017,Techno,128,2A,Clergy,CRG007,MID
Cleric,Formation,Voices Of Control EP,2016,Techno,129,1A,Clergy,CRG003,MID
Cleric,Control,Voices Of Control EP,2016,Techno,128,2A,Clergy,CRG003,ENTER
Cleric & Dax J,The Triangle,Lost In Bermuda EP,2016,Techno,131,11A,Clergy,CRG005,IN
Cliche Morph,The Suffering Of Mind (Fanon Flowers Remix),Of EP,2015,Techno,129,3A,On Records,ON007,IN
Clouds,Chained To A Dead Camel,Radical Cutting Methods,2013,Techno,130,9A,Overlee Assembly,OA002,MID
CNCPT,Citofono 1,Citofono,2017,Techno,131,7A,Brenda,BRENDA006,MID
Concept Of Thrill,Discenda,Falling Dragons,2016,Techno,128,4A,Evod,EVD011,IN
Coyu,L'Estiu Mes Esperat,Technostalgia EP,2020,Techno,136,2A,Suara,SUARA404,MID
Dave Alyan,Obscure (J Blofeld Remix),Obscure EP,2021,Techno,137,1A,Death Bell Records,DBR043,IN
Dave Simon,Traib,Traib EP,2017,Techno,129,10A,Planet Rhythm,PRRUKD063,MID
Dax J,Tripin,Escape The System,2015,Techno,132,1A,Arts Collective,AC004,MID
Dax J,Escape The System (Dax J Dub Mix),Escape The System Remixed,2016,Techno,134,1A,Arts Collective,AC011,MID
Dax J,Harry The Hatchet,Illusions Of Power,2016,Techno,133,1A,Electric Deluxe,EDLX051,MID
Dax J,Closer To God,Imperial Propaganda,2015,Techno,132,6A,Monnom Black,MONNOM005,MID
Dax J,Beyond The Planets,Shades Of Black LP,2015,Techno,130,2A,Monnom Black,MONNOM007,IN
Deaxmade,Amber Waves,Amber Waves,2012,Techno,128,10A,Nheoma Spain,NHD02,OUT
Deaxmade,Exodus,Exodus,2014,Techno,128,6A,Granulart Recordings,GR003,IN
Deepak Sharma,DSC004,Deepak Sharma Collection,2022,Techno,130,1A,Deepak Sharma Collection,DSC004,IN
Delta Funktionen,Silhouette (Marcel Dettmann Remix),Silhouette EP,2014,Techno,130,4A,Delsin,DSR079,OUT
Demetrious,Spiral Sequence II,Les Nuits Secretes EP,2017,Techno,126,1A,Anaoh,ANA013,IN
Dennis Bunas,All The Things You Are,Valley Of Cadence,2017,Techno,130,6A,Android Muziq,ANDROID222,OUT
Dense & Pika,Delta System (Matt Sassari Remix),Delta System Remixes,2019,Techno,125,2A,Kneaded Pains,KP041,MID
Dense & Pika,In My Heart,Shank EP,2022,Techno,132,2A,Uncage,UNCAGEX040,MID
Developer,Over The Euphrates,Coincidence The Eleventh Season,2018,Techno,131,6A,Coincidence Records,CSFC09,MID
Developer,Hooked In,Developer Archive 08,2017,Techno,128,2A,Developer Archive,DA08,MID
Developer,In Pure Form 07,In Pure Form,2014,Techno,130,6A,Modularz,MOD016,IN
Developer,Get Down Motive,Off Grid EP,2018,Techno,132,2A,Modularz,MOD038,OUT
Developer,Frozen Shadow,Vapor Channel EP,2018,Techno,130,7A,Eclectic Limited,ECLLTD005,OUT
"Di Capa, Renil Edis & Side Liner",Staring The Speed,Staring The Speed,2022,Techno,128,4A,Koslif,DC004,OUT
Discrete Circuit,Observate,Observer EP,2017,Techno,130,7B,Astray,ASTRAY001.2,OUT
DJ Deeon & Hi-Lo,Wanna Go Bang,Wanna Go Bang,2022,Techno,132,6A,Drumcode,DSC267,MID
DJ Deep,New Horizon (Roman Poncet Steps Remix),Cuts Serie Remixes Vol. 1,2017,Techno,130,1A,Deeply Rooted,DRH054,MID
DJ Dextro,Climax,Climax EP,2022,Techno,139,7A,KD Raw,KDRAW079,MID
Donato Dozzy,TechTresor,That Fab EP,2016,Techno,130,6A,Spazio,SPAZIO002,IN
Dotwav,Engine,Engine,2016,Techno,130,2A,Wunderblock Records,WR031,IN
Drumcell & Thomas Hoffknecht,Aarp (Tool Edit),Severance Check EP,2022,Techno,135,2A,Create Learn Repeat,CLR099,MID
Dubiosity,War Of The Usurper,Subornation Of Perjury EP,2017,Techno,127,8A,Planet Rhythm,PRRUKBLK018,OUT
Dubspeeka,Contras IIII,Contras,2018,Techno,127,6B,Odd/Even,ODDEVEN018,IN
Dubspeeka,Primary K272,Primary,2015,Techno,125,10A,Drumcode,DC137,MID
Dubspeeka,Primary K293,Primary,2015,Techno,124,11A,Drumcode,DC137,IN
Earwax,Chapter,Timeless Journey EP,2023,Techno,143,5A,Planet Rhythm,PRRUKDUB005,OUT
Edge Of Motion,Point Taken,There Is No Point,2016,Techno,132,1A,Edge Of Motion,EOM001,MID
Edit Select,The Visitor,Aftereffekts,2017,Techno,126,1A,Edit Select,EDITSELECT030,OUT
Edit Select,Composite 0.1,Composites,2017,Techno,128,11A,Edit Select,EDITSELECT028,OUT
Edit Select,Last Seen Leaving,The Drifter,2017,Techno,126,4A,Modularz,MOD030,OUT
Edit Select & Teste,Ascend (Cleric Remix),The Remixes,2019,Techno,129,2A,Edit Select,EDITSELECT071D,IN
Efdemin,Transducer,Decay,2014,Techno,125,5B,Dial Records,DIALCD30,OUT
El Choop,Beauty Warp,Beauty Warp EP,2018,Techno,122,2A,Etui Records,ETUILTD013,OUT
Emanuele Millozzi & Luke Di Lullo,Let It Go (T78 Remix),Let It Go,2019,Techno,128,6A,Silent Storm,SSR044,MID
Emmanuel,All Killer No Filler,All Killer No Filler,2016,Techno,129,11A,Dark Matter,DARKMATTER001,MID
Emmanuel,Improve,Oasis,2018,Techno,127,5A,Arts Collective,ARTSCOLLECTIVE025,MID
Emmanuel,Mind Your Business,Vyper EP,2016,Techno,127,9A,Monnom Black,MONNOM004,MID
Enkō,Anshin,Anshin,2021,Techno,133,1A,Crescent London,CRSCNT03,OUT
Ennio Colaci,Stereoscope (Tadeo Remix),Stereoscope,2017,Techno,127,4A,Dreiklang,DREIKLANG003,OUT
Eric Fletcher,Stimulus,Soundhack,2014,Techno,134,11A,LCR Records,LCR057,IN
Eskapist,Loggbight,Eskapist Volume 1,2018,Techno,124,5A,Figure,FIGUREX01,OUT
Eskapist,Sleeper,Eskapist Volume 1,2018,Techno,128,1A,Figure,FIGUREX01,IN
Eskapist,Platform,Volume 4 (Manifesto),2020,Techno,132,2A,Figure,FIGUREX16,MID
Etapp Kyle,Luna,Klockworks 16,2015,Techno,122,7A,Klockworks,KW16,OUT
Euskalraver,Classic Movement,Walking In The Shadow EP,2015,Techno,131,3A,Raw Surface Records,RS10084253,IN
Evigt Mörker,Epikles,2,2014,Techno,126,1A,Evigt Mörker,EVIGT002,OUT
Evigt Mörker,Apostat,Semantica 2006,2016,Techno,122,9A,Semantica,SEMANTICA10.III,IN
Exilles,The Hidden Groove,Five Years In Love With Involve,2017,Techno,130,8A,Involve Records,INVCD001,IN
Exilles,Loophole,The Series,2017,Techno,128,4A,MM Audio,MMAUDIO007,OUT
Exilles,The Highest Tower,Waterfall,2017,Techno,128,8A,Arts,ARTSLTD007,OUT
Exium,Black Hole,Andromeda,2007,Techno,135,11A,Nheoma,NH04,IN
Exos,Pulp,Alien Eyes,2019,Techno,129,2A,Figure,FIGUREX03,OUT
Exos,Downgarden,Downgarden,2016,Techno,122,2A,Thule Records,THL020,OUT
Exos,Hin Heilaga Þrenning,Downgarden,2016,Techno,126,12A,Thule Records,THL020,OUT
Fabrizio Lapiana,Acid Smiles,LAQ 04,2016,Techno,126,1A,Attic Music,ATTICL004,MID
Fanon Flowers,Mode 08,Trackmodes EP,2014,Techno,138,5A,A.R.T. Less,A.R.T.LESS2188,IN
Farceb,Exoplanet War,Signals From Space,2016,Techno,132,4A,Mindtrip Music,MT13,IN
Ferdinger,Oktopus,Sog EP,2020,Techno,133,9A,Arts,ARTSX011,MID
Filterheadz,Avalanche,Waveriders EP,2023,Techno,136,4A,Tronic,TR449,MID
